pred_loss	pred_accuracy	loss_epoch_0	loss_epoch_1	accuracy_epoch_0	accuracy_epoch_1
339973.71875	0.5403316020965576	366611.0625	366608.21875	0.5757640600204468	0.6137036681175232
347425.15625	0.3960072994232178	388313.09375	388294.5625	0.28530293703079224	0.6210438013076782
417100.25	0.3362734317779541	375847.875	375841.46875	0.36707553267478943	0.41977328062057495
392577.4375	0.646159827709198	414982.28125	414974.40625	0.6567803025245667	0.6991981863975525
358612.1875	0.7291767597198486	347263.78125	347259.1875	0.647961437702179	0.7079089283943176
313715.5625	0.010960670188069344	369662.0625	369649.3125	0.5877232551574707	0.6323102712631226
263339.09375	0.5045538544654846	284070.71875	284066.28125	0.40194612741470337	0.4274557828903198
377339.90625	0.7231786847114563	319152.375	319146.125	0.7283316850662231	0.845511794090271
430725.09375	0.6155526041984558	399922.65625	399917.90625	0.5410429239273071	0.6573349237442017
364540.59375	0.5776465535163879	341993.21875	341980.4375	0.5282768607139587	0.8150032162666321
580652.8125	0.2339365929365158	358475.15625	358470.90625	0.6400785446166992	0.6896360516548157
319259.84375	0.3600497543811798	405124.71875	405111.84375	0.6545222997665405	0.7375353574752808
381373.5	0.5016523599624634	346389.03125	346386.65625	0.65228670835495	0.6606950759887695
350726.03125	0.48723551630973816	366374.25	366361.46875	0.7055405378341675	0.7836193442344666
320227.84375	0.4896771311759949	332655.84375	332649.9375	0.5396814942359924	0.6160885691642761
326365.4375	0.7037897109985352	368829.90625	368824.75	0.6526318788528442	0.7774142622947693
497609.1875	0.685496985912323	338533.875	338530.375	0.7161296010017395	0.8478734493255615
363561.9375	0.6485695242881775	361989.875	361988.3125	0.7399035692214966	0.7484181523323059
